message,intent
My dog is missing in Ratnapura. Has anyone seen him?,Other
Gampaha hospital is requesting drinking water and food for patients.,Supply
The government has allocated relief funds for the Badulla district.,Other
Donation needed: 19 packets of rice and curry for lunch in Kegalle.,Supply
We need blankets and clothes for the children at the Kandy school.,Supply
Just arrived at the shelter in Nuwara Eliya. It's crowded but safe.,Other
Is the highway open? I need to get to the airport from Badulla.,Utility
SOS: 17 people stranded on a rock in Mahaweli River. Water rising rapidly.,Rescue
Helicopter rescue needed for a group of hikers in Matara.,Rescue
Gampaha hospital is requesting urgent medicine for 18 patients.,Medical
Just saw on news that Nuwara Eliya town is flooded. Hope everyone is safe.,Other
We need blankets and clothes for the children at the Wattala school.,Supply
Rescue needed: Pregnant woman in labor at Kelaniya. Cannot reach hospital.,Medical
Boat capsized in Kolonnawa. 9 people in the water. Need help!,Rescue
Rescue needed: Pregnant woman in labor at Kelaniya. Cannot reach hospital.,Medical
Is the highway open? I need to get to the airport from Ratnapura.,Utility
We are trapped in the attic in Wattala. 17 kids. Water is entering.,Rescue
Road block at the entrance to the highway in Colombo. Avoid the area.,Utility
My grandfather has a high fever and we are cut off by floods in Badulla.,Medical
URGENT: Landslide in Wattala. 4 houses buried. Need rescue team immediately.,Rescue
Warning: Dengue risk is high in Badulla due to stagnant water.,Medical
Boat capsized in Wattala. 5 people in the water. Need help!,Rescue
BREAKING: Water levels in Nilwala River (Kelaniya) have reached 10.5 meters. Warning!,Utility
Gampaha hospital is requesting urgent medicine for 9 patients.,Medical
Is the highway open? I need to get to the airport from Wellampitiya.,Utility
Donation drive happening at the town hall in Ratnapura tomorrow.,Other
Donation drive happening at the town hall in Colombo tomorrow.,Other
SOS: 4 people stranded on a rock in Kelani River. Water rising rapidly.,Rescue
River overflow in Kegalle. Level 5.2m. Critical warning issued.,Utility
Donation needed: 17 packets of rice and curry for lunch in Kandy.,Supply
I lost my ID card in the flood in Ja-Ela. What should I do?,Other
Please pray for Sri Lanka. Stay safe everyone.,Other
Donation needed: 7 packets of rice and curry for lunch in Wattala.,Supply
Need ambulance to Colombo for an elderly person with chest pain.,Medical
We are trapped in the attic in Kegalle. 14 kids. Water is entering.,Rescue
Gampaha hospital is requesting urgent medicine for 18 patients.,Medical
Just arrived at the shelter in Wellampitiya. It's crowded but safe.,Other
Donation needed: 6 packets of rice and curry for lunch in Nuwara Eliya.,Supply
We need blankets and clothes for the children at the Ratnapura school.,Supply
The government has allocated relief funds for the Wellampitiya district.,Other
My dog is missing in Ja-Ela. Has anyone seen him?,Other
Gampaha hospital is requesting urgent medicine for 16 patients.,Medical
River overflow in Colombo. Level 4.9m. Critical warning issued.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
River overflow in Colombo. Level 7.0m. Critical warning issued.,Utility
Please pray for Sri Lanka. Stay safe everyone.,Other
Just saw on news that Nuwara Eliya town is flooded. Hope everyone is safe.,Other
Gampaha hospital is requesting urgent medicine for 20 patients.,Medical
Requesting 500 liters of drinking water for the shelter in Wattala.,Supply
Just arrived at the shelter in Matara. It's crowded but safe.,Other
We need blankets and clothes for the children at the Wattala school.,Supply
Donation drive happening at the town hall in Kolonnawa tomorrow.,Other
River overflow in Nuwara Eliya. Level 10.4m. Critical warning issued.,Utility
I lost my ID card in the flood in Kelaniya. What should I do?,Other
Warning: Dengue risk is high in Matara due to stagnant water.,Medical
